Number,File Name,Member,Duration,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,DCT_1,DCT_2,DCT_3,DCT_4,DCT_5,DCT_6,DCT_7,DCT_8,DCT_9,DCT_10,DCT_11,DCT_12,DCT_13,Fluency Label
23,242s36,student,13.091020408163265,-305.61276,130.15747,-4.938209,20.621881,-0.67372257,-20.697775,-15.366232,-15.684125,-13.508506,-10.180074,-12.839737,-3.0876982,-9.684238,-1.9248495,1.0839895,0.11760638,-0.012036227,-0.86194235,0.95458174,-0.22995284,-0.2306218,-0.020797653,0.44160813,-0.3771108,0.120052665,0.002135687,-5.8434933e-05,0.00036866867,0.0029864642,0.0011620276,0.0013129222,0.0027466388,0.00028904228,0.0002881641,-0.002855578,-0.0017011751,0.00074990257,-0.0020758396,0
24,242s38,student,16.532018140589567,-361.94934,131.27992,4.6675076,12.976068,1.6488982,-10.642038,-12.688868,-11.81406,-13.305666,-7.9794006,-11.07674,-7.056221,-7.7283297,-1.589567,0.27810207,0.85912776,-0.22810285,-0.8145212,0.63983965,0.09659534,-0.13244338,-0.3480096,0.48855755,-0.2979275,0.13623199,-0.0021480909,0.001805115,-0.0011168476,0.0019860333,-0.00076019263,0.00039344904,0.0018251734,-0.0016973215,-0.001622394,0.00065368845,0.0013288993,-0.0010478178,0.0011004831,1
25,242s19,student,24.036961451247166,-326.45413,147.26463,-0.19009675,15.967026,-13.429249,-0.30470845,-20.99584,-17.994026,-6.953076,-10.501179,-8.093977,-6.4101834,-9.796518,-2.1279516,1.9370737,-1.4783243,1.243897,-0.8594987,0.5757088,-0.51044536,0.45991653,-0.42544034,0.42146727,-0.27094954,0.0910431,-0.00052300433,0.003521498,-0.0025332384,0.001913273,0.00075581204,-0.0012423439,-0.00023628637,0.00037091644,-0.0019976848,-0.0011439377,-0.0022546654,-8.793498e-05,-9.527485e-05,0
26,242s42,student,11.634965986394558,-344.85022,133.53296,6.45452,16.846243,-16.067665,0.4363069,-16.89492,-22.638584,-2.7259853,-10.560826,-8.70914,-5.4772105,-10.266559,-2.4054205,2.389716,-1.351406,0.23088405,0.29482174,0.039788496,-0.28862354,0.14260963,-0.096577466,0.10760389,-0.06844804,0.043065276,0.0021614106,0.0022590223,-0.0014583186,0.0002256514,0.00029979803,-0.0013646937,-0.002466938,-0.0015972311,-0.0017090309,0.00015460608,0.0015435105,-0.00015405886,0.0030240077,0
27,242s16,student,31.986031746031745,-293.0433,136.48619,-7.4785223,24.607973,-20.175484,4.1331573,-23.753735,-20.804863,-3.3660152,-11.892188,-9.019088,-5.913682,-11.130869,-1.9163061,1.5540074,-1.1757132,0.9850962,-0.7211858,0.64061666,-0.4100341,0.049113132,-0.031182341,0.12362687,-0.05370572,0.026189791,0.00045821728,0.0018441523,2.5742134e-05,-0.0018520271,0.0020089485,-0.0036390845,-0.0010945848,-0.0028746934,0.002123635,-0.004343086,0.00095261337,0.0005182817,0.00017876792,0
28,242s43,student,6.001995464852608,-415.06332,136.6554,3.760622,13.661341,-11.248939,11.19108,-9.619367,-12.057315,-2.1585336,-3.712626,-13.635476,-5.2434435,-7.7854214,-2.093177,1.4981782,-0.14986266,-0.5355658,0.32173416,0.18697414,-0.24909486,-0.04835835,0.19215338,-0.17395559,0.063265346,0.03271953,0.0005958043,-0.0010024065,-0.0007343583,0.0007405685,0.00042743247,-0.0005946527,-0.0004948792,0.0009688877,-7.3721625e-05,-0.0012323521,-0.00017091127,-0.00046958178,-0.0011462434,1
29,242s40,student,9.556009070294785,-420.9593,129.7009,23.383743,4.6274996,-12.1709385,-3.7802396,-12.951156,-5.4254446,-6.892392,-11.931932,-7.1199784,-5.8117633,-9.619826,-1.5768371,0.62419295,-0.018460773,0.12249931,-0.25856707,0.37055168,-0.33476847,0.224563,-0.17405777,0.08090192,0.010284712,0.008620943,-0.00016018619,-0.0001575895,-0.00024767913,0.000113586015,-1.7942275e-05,-0.00039315235,-0.00047928302,-0.0017111422,-5.136534e-06,0.0012834108,-0.0003874636,0.0012410344,-0.0010587426,1
30,242s35,student,12.840997732426304,-274.0705,128.92601,-20.054815,19.684319,-15.346761,-15.794879,-17.595207,-18.707352,-9.749012,-7.099421,-10.66939,-7.695043,-10.706108,-2.0887258,1.7222476,-0.77522653,0.42140737,-0.65070647,0.72362274,-0.29386842,-0.0006374903,-0.15525913,0.37721327,-0.31285435,0.12156202,0.0035317533,-0.0026872694,0.00198394,-0.0015257546,-0.00022708697,-0.0017434573,0.0015382154,-0.0023100139,0.00239634,-0.0017338474,0.0030817208,-0.0034154044,0.0012512028,0
31,242s26,student,22.90498866213152,-329.14502,123.637634,-1.5942287,20.042755,-12.191271,-2.9758592,-17.504541,-16.512276,-4.3050537,-10.439833,-8.190765,-5.2593174,-7.996798,-1.9967152,1.6429669,-1.0809176,0.84669054,-0.70817924,0.7481095,-0.5351695,0.06953316,-0.0069301613,0.14370725,-0.09201865,0.048325602,-0.0007208479,0.0011013715,-0.0011353343,0.0013782148,0.0013768872,-0.0015988026,-0.0021284225,0.0015962177,-0.0012021656,0.0012971197,-0.0012783634,-0.0028248816,0.002617416,0
32,242s14,student,22.194965986394557,-341.54794,132.45786,11.963781,16.6571,-19.705273,6.7785544,-25.716724,-14.876112,-1.1505759,-10.697209,-9.919859,-5.7345915,-10.513324,-1.8820418,1.6903055,-1.7765093,1.7898102,-1.339008,1.050638,-0.6917529,0.3139623,-0.27796453,0.2417753,-0.032297492,-0.011799286,0.0034844596,0.00019717288,0.0006501024,0.00044319071,-0.0014421556,0.0033652617,-0.0015514989,-0.0044335015,-0.0003278599,0.004420395,0.000752341,-0.002820958,0.00084195955,0
33,242s30,student,7.923038548752834,-270.48212,129.20358,-6.340699,29.284735,-24.704807,2.2259703,-24.6521,-23.398973,-6.920223,-13.942998,-10.4991865,-4.5262127,-10.600358,-2.2763762,2.5038877,-2.2875106,1.8093531,-1.2626501,1.0663702,-0.8031001,0.3363099,-0.08636575,0.024268314,0.07640901,-0.04744433,-0.0018560744,-0.0012513438,0.00017166806,-0.0010409353,0.00016082838,0.0029433067,-0.0018090698,0.0017827498,0.0019450653,0.001208968,0.0023930375,-0.0020241165,-0.0009793261,0
34,242s33,student,7.376009070294785,-277.46436,135.16846,-16.122126,24.602264,-16.895935,-2.7745168,-23.468754,-20.45565,-1.5485849,-8.222253,-9.504198,-4.1926403,-12.070354,-2.1166584,1.7046558,-0.6162255,-0.041792326,0.060391493,0.46048898,-0.7078217,0.33678785,-0.035034753,0.123621844,-0.23063785,0.14081196,0.00013922184,0.0020276927,0.00077424484,0.0010256595,-0.00017179499,-0.0029095034,0.0005363235,-0.0014792627,-0.0017180739,0.0007465582,0.0010256618,0.0019647956,0.0008480202,0
35,242s1,student,6.041995464852608,-257.45352,118.92241,-17.458504,12.767731,-7.721033,6.872654,-17.632826,-0.2696927,-11.176394,-8.259052,-8.498152,-5.82224,-9.670367,-1.7055923,1.0297943,-0.48671004,0.5043083,-0.5349701,0.37817684,-0.1456392,0.07732033,-0.10553476,0.11697677,-0.21811469,0.16581813,-0.0030133636,-0.0016051851,-0.0022234046,0.001966599,0.0013717011,-0.00038037094,0.0012907583,2.872567e-05,0.00012906926,-0.0016792536,-8.512405e-05,0.0011040836,0.001204882,1
36,242s20,student,8.22498866213152,-462.0613,144.14684,34.45778,-4.9479704,-15.343142,4.244009,-9.790067,-8.79337,-7.581798,-10.340422,-5.8591766,-6.2747254,-7.1856055,-2.336129,2.3509505,-1.7408026,1.2394642,-0.6515879,0.49809745,-0.6986835,0.52933556,-0.25976962,0.18099442,-0.050895423,-0.009631758,-0.00043371663,0.00013303716,0.00069360074,7.7314864e-05,0.000557345,-0.00092685607,-0.00091576716,-0.00016234437,0.0003725171,0.0017900965,0.0009901252,3.3328884e-05,-0.00052183087,0
37,242s3,student,7.636009070294785,-337.3367,147.68315,-17.280989,35.39688,-13.353675,-16.85157,-1.9331679,-22.800373,-9.023646,-6.231243,-9.511465,-1.4406719,-11.952858,-2.148957,1.693863,-0.23009226,-0.46611232,-0.2311302,0.8727423,-0.33058023,-0.3935854,0.22714457,0.4453816,-0.6214102,0.26465842,-0.000615129,0.0012291765,0.0014257805,0.0017121698,-0.0021630777,0.00041862635,-0.0003003538,0.00043577838,-0.001124984,0.00033693583,0.0017601822,0.0015216065,-0.0029248511,0
38,242s21,student,1.7150113378684808,-427.94147,163.16261,27.376087,-2.8621793,-14.654052,5.605377,-8.448608,-10.35824,-6.6798277,-6.6848454,-7.7604833,-3.5121949,-11.5073805,-2.3495996,2.1407638,-1.2740198,0.77580845,-0.63189614,0.90149164,-0.59657586,-0.13186303,0.1796137,0.047136858,-0.07516217,0.03709115,-0.0021758876,-0.0038628003,-0.0018747519,-0.0031147655,-0.0037690287,-0.0052326364,-0.000693682,-0.0026055677,-0.0023426278,-0.005146575,-0.0028321482,-0.0032282579,-0.0021906267,1
39,247s23,student,10.262993197278911,-369.17072,176.87569,-10.384405,0.8120696,0.7386217,-7.786036,-20.85657,-12.396216,-4.748253,-8.864921,-10.081565,-6.62215,-12.930189,-2.3475416,2.054275,-0.9380864,0.5919361,-0.7384382,0.77562106,-0.70073575,0.533021,-0.34403673,0.25316173,-0.15849167,0.05453437,0.0014297997,2.0202413e-05,0.0008417156,-0.0017086705,8.369843e-05,-0.0019999621,0.0002736895,0.00046918535,-0.00038931624,-0.00025306904,2.6145854e-06,2.142837e-05,-0.00025191586,0
40,247s13,student,10.776009070294785,-252.64209,164.65642,-28.96957,4.4123936,-12.60603,-5.469343,-21.696955,-13.770818,-11.241448,-14.137664,-10.874664,-11.124365,-11.262204,-2.3809931,2.2907386,-1.4873595,1.1757336,-1.0456004,0.88307005,-0.7688706,0.55530214,-0.295838,0.20210415,-0.16907729,0.07935055,-0.0018323008,0.00089937897,-0.0010421302,0.0023108935,-0.002147675,0.0009376069,-0.0019192867,0.0019418914,-0.0030328732,0.0027067242,-0.0026928335,0.0030559907,-0.0032132147,0
41,242s18,student,28.963038548752834,-284.17966,132.38614,-10.499338,25.75448,-20.304852,-5.7892017,-21.518019,-19.480856,-6.5902104,-14.699808,-8.308021,-5.2286167,-12.481712,-2.2679937,2.3293161,-1.8820207,1.6018527,-1.5111873,1.4823793,-1.1140691,0.54271483,-0.2968285,0.3520081,-0.28786838,0.11158879,0.0014444469,-0.0013118237,2.8130115e-05,0.0038489865,-0.0021346337,0.0013597023,0.00030041698,0.0009980737,0.0015010913,0.0026818232,0.0010759463,0.0021670153,0.0013417309,0
42,242s32,student,24.09097505668934,-291.59735,136.94817,-14.445703,19.315063,-11.798107,-8.102479,-21.517538,-18.54791,-4.5978494,-8.074779,-10.492978,-6.1593585,-9.237275,-2.0366914,1.6434777,-0.95765567,0.8520176,-0.90382874,0.81382424,-0.5571586,0.4026649,-0.54014605,0.53225034,-0.2236653,0.052882083,-0.0054928767,-0.0027119622,-0.0013566948,-0.004204428,-0.0040522115,-0.0023991764,-0.0019029009,-0.005984827,-0.0021464184,-0.0059874635,-0.00074909156,-0.0016676113,-5.6795885e-05,0
43,242s13,student,29.485986394557823,-288.2071,128.74998,-7.263475,28.636003,-16.483208,-1.5219904,-23.40838,-16.100737,-6.774461,-13.175103,-6.945374,-5.4400506,-10.8501835,-2.021059,1.7894689,-1.373217,1.2279156,-1.049538,0.8213092,-0.51413625,0.2502107,-0.25206828,0.38724056,-0.30767107,0.118363015,-0.002792502,0.0012250473,-8.538432e-05,0.0014329618,0.0008587262,-0.00075309037,0.0023473676,0.003215066,0.00028718036,-0.0017191,8.722734e-05,-0.0010522612,-0.001039924,0
44,247s11,student,12.710975056689342,-416.59146,169.49,5.7902594,4.27405,2.1069157,-6.515525,-23.537006,-12.850603,-9.098995,-8.278735,-10.017813,-8.132146,-11.302384,-2.3096633,1.9515554,-0.85044456,0.6525798,-0.82460374,0.6487624,-0.608202,0.62904835,-0.34344223,0.08126454,0.005539064,0.0023715827,-0.00054413953,0.00020282186,-0.00051709154,-0.00076362444,0.0015959856,-0.00040860125,0.00020940515,-0.0014099602,-0.0013763651,0.0004907724,0.00075779477,-0.00082605414,0.000606016,0
45,242s2,student,32.56902494331066,-286.26297,131.85342,-20.452406,35.749924,-14.571285,-16.735212,-9.241071,-22.436817,-10.371161,-12.382936,-11.8556185,-2.7112617,-11.064021,-2.0655484,1.7256566,-0.7451392,0.23437439,-0.5231004,0.7779529,-0.43495125,0.046054795,-0.07177823,0.36164707,-0.4201493,0.18647407,0.0020403478,-0.0021812727,0.00057080237,-0.0003392874,-0.002634262,-0.0026381859,-0.0006268362,-0.00070642075,0.00021787721,0.0007074596,0.0008495267,-0.0016348397,0.0019565457,0
46,242s4,student,28.18299319727891,-319.02838,134.71408,10.805177,19.3449,-21.655638,3.0976958,-13.386506,-20.303925,-4.803655,-8.667862,-7.4914165,-7.7475257,-8.378938,-1.7678874,1.1343851,-0.6775988,0.50643736,-0.38702312,0.43074486,-0.15762223,-0.054986957,-0.1171951,0.27375126,-0.18366978,0.059874963,-0.0016002932,-0.003433819,-0.0024164123,-0.0012744833,0.0018082897,0.0047405194,-0.00045957943,-0.0037846998,0.0015897825,0.00050234166,0.0014763714,-0.0013642883,-0.0024376272,1
47,247s12,student,20.881995464852608,-378.40997,160.27281,-0.600175,3.3755145,2.430756,-8.282717,-21.922087,-12.529299,-9.757296,-10.134148,-10.323237,-7.184253,-11.422998,-2.1258218,1.5884835,-0.6799014,0.7538691,-0.8739155,0.4736524,-0.39258802,0.5102899,-0.34330198,0.22255799,-0.14020017,0.049327478,0.00090688624,-0.0011465688,-0.0009187751,0.0015273999,0.0009966384,0.0008065547,-0.00075374136,0.0013460421,-0.002209485,-0.0011580708,-0.00021344326,0.001328658,-0.0014134862,0
48,247s15,student,11.551020408163266,-424.4768,174.07637,2.677271,3.6499956,-3.2339044,-1.2134304,-26.477983,-9.507794,-6.648987,-6.8084126,-11.30932,-6.809641,-12.457776,-1.8880962,1.1090788,-0.59337145,0.94142693,-0.64778286,0.25234967,-0.5847179,0.5314004,-0.111649826,0.14306912,-0.17888385,0.063171774,0.000733131,0.00080240925,0.00027782,0.00083746016,0.0013722843,0.0013278471,0.00073967286,-0.0010215507,0.0010206331,-0.00093321176,-0.00042436426,0.000103951344,-0.00016270886,0
49,247s1,student,17.8437641723356,-437.47202,152.4832,26.961063,-0.5767923,-2.1664345,7.0343127,-30.65016,-5.939131,-6.14386,-7.430306,-7.4816265,-8.143619,-9.301579,-1.5124359,0.5175166,-0.61344403,0.9223409,-0.066958524,0.070882894,-0.62682647,0.09022875,0.25025398,0.11201856,-0.019324198,-0.090520926,-0.00048400706,0.000788494,0.0011222424,-0.000109353554,-0.0003184646,-0.0019298487,0.00056930725,-0.00067448587,-3.24086e-05,0.0011146639,-0.0016897537,-4.067364e-05,0.00039940135,1
